MAL_ID,Name,Score,Genre,Episodes,Studios,Source,Rating,Favorites,Completed,Dropped,Premiered
5114,Fullmetal Alchemist: Brotherhood,9.19,Action,64,Bones,Manga,R - 17+ (violence & profanity),183914,1644938,32456,Spring 2009
40028,Shingeki no Kyojin: The Final Season,9.17,Action,16,MAPPA,Manga,R - 17+ (violence & profanity),44862,553,2090,Winter 2021
9253,Steins;Gate,9.11,Sci-Fi,24,White Fox,Visual novel,PG-13 - Teens 13 or older,148452,1134756,35600,Spring 2011
11061,Hunter x Hunter (2011),9.1,Action,148,Madhouse,Manga,PG-13 - Teens 13 or older,147274,1094486,31652,Fall 2011
38524,Shingeki no Kyojin Season 3 Part 2,9.1,Action,10,Wit Studio,Manga,R - 17+ (violence & profanity),40985,906824,3099,Spring 2019
28977,Gintama°,9.1,Action,51,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,11868,167130,11472,Spring 2015
9969,Gintama',9.08,Action,51,Sunrise,Manga,PG-13 - Teens 13 or older,6567,190008,7084,Spring 2011
15417,Gintama': Enchousen,9.04,Action,13,Sunrise,Manga,PG-13 - Teens 13 or older,2586,143353,2012,Fall 2012
35180,3-gatsu no Lion 2nd Season,9.0,Drama,22,Shaft,Manga,PG-13 - Teens 13 or older,11133,148885,3166,Fall 2017
34096,Gintama.,8.99,Action,12,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,2397,115105,2273,Winter 2017
4181,Clannad: After Story,8.96,Slice of Life,24,Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,62162,641323,13224,Fall 2008
918,Gintama,8.96,Action,201,Sunrise,Manga,PG-13 - Teens 13 or older,48247,230260,39531,Spring 2006
35247,Owarimonogatari 2nd Season,8.93,Mystery,7,Shaft,Light novel,R - 17+ (violence & profanity),6113,159101,1697,Summer 2017
2904,Code Geass: Hangyaku no Lelouch R2,8.91,Action,25,Sunrise,Original,R - 17+ (violence & profanity),64482,1060730,12463,Spring 2008
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.87,Comedy,10,Production I.G,Manga,PG-13 - Teens 13 or older,12830,619835,3128,Fall 2016
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.86,Action,14,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,938,67276,1080,Summer 2018
37510,Mob Psycho 100 II,8.84,Action,13,Bones,Web manga,PG-13 - Teens 13 or older,20654,623709,4045,Winter 2019
36838,Gintama.: Shirogane no Tamashii-hen,8.81,Action,12,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,1060,75576,1260,Winter 2018
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.79,Drama,12,Studio Deen,Manga,PG-13 - Teens 13 or older,2623,57236,2887,Winter 2017
17074,Monogatari Series: Second Season,8.78,Mystery,26,Shaft,Light novel,R - 17+ (violence & profanity),19644,336572,5433,Summer 2013
1,Cowboy Bebop,8.78,Action,26,Sunrise,Original,R - 17+ (violence & profanity),61971,718161,26678,Spring 1998
24701,Mushishi Zoku Shou 2nd Season,8.76,Adventure,10,Artland,Manga,PG-13 - Teens 13 or older,1223,100107,2398,Fall 2014
19,Monster,8.76,Drama,74,Madhouse,Manga,R+ - Mild Nudity,29436,214491,23008,Spring 2004
263,Hajime no Ippo,8.75,Comedy,75,Madhouse,Manga,PG-13 - Teens 13 or older,15543,221671,9660,Fall 2000
34599,Made in Abyss,8.74,Sci-Fi,13,Kinema Citrus,Web manga,R - 17+ (violence & profanity),30354,550412,12020,Summer 2017
40591,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.74,Comedy,12,A-1 Pictures,Manga,PG-13 - Teens 13 or older,14682,443172,4344,Spring 2020
23273,Shigatsu wa Kimi no Uso,8.74,Drama,22,A-1 Pictures,Manga,PG-13 - Teens 13 or older,69557,1036649,34336,Fall 2014
28891,Haikyuu!! Second Season,8.73,Comedy,25,Production I.G,Manga,PG-13 - Teens 13 or older,13879,736157,4991,Fall 2015
21939,Mushishi Zoku Shou,8.72,Adventure,10,Artland,Manga,PG-13 - Teens 13 or older,1393,113559,2606,Spring 2014
1575,Code Geass: Hangyaku no Lelouch,8.72,Action,25,Sunrise,Original,R - 17+ (violence & profanity),90487,1209288,30864,Fall 2006
37521,Vinland Saga,8.71,Action,24,Wit Studio,Manga,R - 17+ (violence & profanity),17637,380519,11419,Summer 2019
245,Great Teacher Onizuka,8.7,Slice of Life,43,Studio Pierrot,Manga,R - 17+ (violence & profanity),20870,334925,18032,Summer 1999
457,Mushishi,8.69,Adventure,26,Artland,Manga,PG-13 - Teens 13 or older,23066,235371,20017,Fall 2005
11665,Natsume Yuujinchou Shi,8.67,Slice of Life,13,Brain's Base,Manga,PG-13 - Teens 13 or older,1814,114646,1812,Winter 2012
5258,Hajime no Ippo: New Challenger,8.67,Comedy,26,Madhouse,Manga,PG-13 - Teens 13 or older,1598,156501,1548,Winter 2009
2921,Ashita no Joe 2,8.67,Action,47,Tokyo Movie Shinsha,Manga,PG-13 - Teens 13 or older,1546,14113,739,Fall 1980
2001,Tengen Toppa Gurren Lagann,8.66,Action,27,Gainax,Original,PG-13 - Teens 13 or older,67916,805570,42030,Spring 2007
34591,Natsume Yuujinchou Roku,8.65,Slice of Life,11,Shuka,Manga,PG-13 - Teens 13 or older,930,64091,1574,Spring 2017
37779,Yakusoku no Neverland,8.65,Sci-Fi,12,CloverWorks,Manga,R - 17+ (violence & profanity),32542,863136,12852,Winter 2019
33352,Violet Evergarden,8.64,Slice of Life,13,Kyoto Animation,Light novel,PG-13 - Teens 13 or older,34340,615251,33681,Winter 2018
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.64,Drama,12,White Fox,Light novel,R - 17+ (violence & profanity),5059,51,1568,Winter 2021
1535,Death Note,8.63,Mystery,37,Madhouse,Manga,R - 17+ (violence & profanity),145201,2146116,80834,Fall 2006
22135,Ping Pong the Animation,8.63,Drama,11,Tatsunoko Production,Manga,PG-13 - Teens 13 or older,11436,145309,5683,Spring 2014
38000,Kimetsu no Yaiba,8.62,Action,26,ufotable,Manga,R - 17+ (violence & profanity),51725,1079964,19506,Spring 2019
7785,Yojouhan Shinwa Taikei,8.61,Mystery,11,Madhouse,Novel,R - 17+ (violence & profanity),14335,114567,7132,Spring 2010
38474,Yuru Camp△ Season 2,8.61,Slice of Life,13,C-Station,Manga,PG-13 - Teens 13 or older,903,9,389,Winter 2021
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.61,Action,39,David Production,Manga,R - 17+ (violence & profanity),21884,383733,5735,Fall 2018
28735,Shouwa Genroku Rakugo Shinjuu,8.6,Drama,13,Studio Deen,Manga,PG-13 - Teens 13 or older,4906,84037,6878,Winter 2016
42897,Horimiya,8.6,Slice of Life,13,CloverWorks,Manga,PG-13 - Teens 13 or older,9065,189,2018,Winter 2021
10379,Natsume Yuujinchou San,8.6,Slice of Life,13,Brain's Base,Manga,PG-13 - Teens 13 or older,1287,125678,1978,Summer 2011
19647,Hajime no Ippo: Rising,8.6,Comedy,25,"Madhouse, MAPPA",Manga,PG-13 - Teens 13 or older,1010,129332,1495,Fall 2013
11741,Fate/Zero 2nd Season,8.59,Action,12,ufotable,Light novel,R - 17+ (violence & profanity),17197,649100,4724,Spring 2012
32983,Natsume Yuujinchou Go,8.59,Slice of Life,11,Shuka,Manga,PG-13 - Teens 13 or older,690,72069,1531,Fall 2016
35760,Shingeki no Kyojin Season 3,8.59,Action,12,Wit Studio,Manga,R - 17+ (violence & profanity),14971,991045,6048,Summer 2018
12365,Bakuman. 3rd Season,8.58,Comedy,25,J.C.Staff,Manga,PG-13 - Teens 13 or older,2815,199772,2711,Fall 2012
40776,Haikyuu!!: To the Top 2nd Season,8.57,Comedy,12,Production I.G,Manga,PG-13 - Teens 13 or older,4333,194898,1942,Fall 2020
5300,Zoku Natsume Yuujinchou,8.57,Slice of Life,13,Brain's Base,Manga,PG-13 - Teens 13 or older,1413,133333,1661,Winter 2009
35839,Sora yori mo Tooi Basho,8.57,Adventure,13,Madhouse,Original,PG-13 - Teens 13 or older,10283,168250,7203,Winter 2018
30276,One Punch Man,8.57,Action,12,Madhouse,Web manga,R - 17+ (violence & profanity),54435,1841220,26755,Fall 2015
40417,Fruits Basket 2nd Season,8.54,Slice of Life,25,TMS Entertainment,Manga,PG-13 - Teens 13 or older,3013,79090,3212,Spring 2020
30654,Ansatsu Kyoushitsu 2nd Season,8.54,Action,25,Lerche,Manga,PG-13 - Teens 13 or older,14144,701408,13098,Winter 2016
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.54,Action,26,Production I.G,Manga,R - 17+ (violence & profanity),3021,115405,2104,Winter 2004
40748,Jujutsu Kaisen (TV),8.54,Action,24,MAPPA,Manga,R - 17+ (violence & profanity),20816,299,5177,Fall 2020
20583,Haikyuu!!,8.53,Comedy,25,Production I.G,Manga,PG-13 - Teens 13 or older,54887,896822,21054,Spring 2014
3297,Aria the Origination,8.53,Sci-Fi,13,Hal Film Maker,Manga,G - All Ages,3612,30863,2471,Winter 2008
170,Slam Dunk,8.53,Comedy,101,Toei Animation,Manga,PG-13 - Teens 13 or older,5471,108713,7862,Fall 1993
35843,Gintama.: Porori-hen,8.53,Action,13,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,947,79630,1224,Fall 2017
37379,Chihayafuru 3,8.52,Game,24,Madhouse,Manga,PG-13 - Teens 13 or older,1186,40652,1143,Fall 2019
6114,Rainbow: Nisha Rokubou no Shichinin,8.52,Drama,26,Madhouse,Manga,R - 17+ (violence & profanity),7421,135582,12168,Spring 2010
12431,Uchuu Kyoudai,8.52,Comedy,99,A-1 Pictures,Manga,PG-13 - Teens 13 or older,3404,37234,6948,Spring 2012
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.51,Action,39,David Production,Manga,R - 17+ (violence & profanity),23817,494738,6220,Spring 2016
30484,Steins;Gate 0,8.51,Sci-Fi,23,White Fox,Visual novel,PG-13 - Teens 13 or older,8947,294077,12481,Spring 2018
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.5,Drama,13,White Fox,Light novel,R - 17+ (violence & profanity),10010,330007,4982,Summer 2020
205,Samurai Champloo,8.5,Action,26,Manglobe,Original,R - 17+ (violence & profanity),29414,551621,19921,Spring 2004
32182,Mob Psycho 100,8.49,Action,12,Bones,Web manga,PG-13 - Teens 13 or older,27971,942402,19213,Summer 2016
33,Kenpuu Denki Berserk,8.49,Action,25,OLM,Manga,R+ - Mild Nudity,18567,276588,9406,Fall 1997
34612,Saiki Kusuo no Ψ-nan 2,8.48,Slice of Life,24,"J.C.Staff, Egg Firm",Manga,PG-13 - Teens 13 or older,3022,251764,3802,Winter 2018
10165,Nichijou,8.48,Slice of Life,26,Kyoto Animation,Manga,PG-13 - Teens 13 or older,18399,289512,25096,Spring 2011
16498,Shingeki no Kyojin,8.48,Action,25,Wit Studio,Manga,R - 17+ (violence & profanity),129844,2182587,44635,Spring 2013
40059,Golden Kamuy 3rd Season,8.46,Action,12,Geno Studio,Manga,R - 17+ (violence & profanity),541,32912,398,Fall 2020
31181,Owarimonogatari,8.46,Mystery,12,Shaft,Light novel,R - 17+ (violence & profanity),2296,218734,3885,Fall 2015
877,Nana,8.46,Music,47,Madhouse,Manga,R+ - Mild Nudity,16944,185800,18693,Spring 2006
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.46,Slice of Life,12,feel.,Light novel,PG-13 - Teens 13 or older,12632,199414,4490,Summer 2020
25777,Shingeki no Kyojin Season 2,8.45,Action,12,Wit Studio,Manga,R - 17+ (violence & profanity),18262,1337762,12637,Spring 2017
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.45,Action,24,David Production,Manga,R - 17+ (violence & profanity),13852,555181,3162,Winter 2015
33255,Saiki Kusuo no Ψ-nan,8.45,Comedy,120,"J.C.Staff, Egg Firm",Manga,PG-13 - Teens 13 or older,15437,365729,17840,Summer 2016
37965,Kaze ga Tsuyoku Fuiteiru,8.45,Comedy,23,Production I.G,Novel,PG-13 - Teens 13 or older,4163,102342,6061,Fall 2018
467,Koukaku Kidoutai: Stand Alone Complex,8.45,Action,26,Production I.G,Manga,R - 17+ (violence & profanity),8128,170891,8338,Fall 2002
392,Yuu☆Yuu☆Hakusho,8.45,Action,112,Studio Pierrot,Manga,PG-13 - Teens 13 or older,17768,255542,18135,Fall 1992
36649,Banana Fish,8.45,Action,24,MAPPA,Manga,R - 17+ (violence & profanity),15886,185959,18821,Summer 2018
5028,Major S5,8.45,Comedy,25,SynergySP,Manga,PG-13 - Teens 13 or older,586,44811,652,Winter 2009
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.43,Comedy,12,A-1 Pictures,Manga,PG-13 - Teens 13 or older,22277,678999,15500,Winter 2019
10162,Usagi Drop,8.43,Slice of Life,11,Production I.G,Manga,PG-13 - Teens 13 or older,5760,241673,5467,Summer 2011
38889,Kono Oto Tomare! 2nd Season,8.43,Drama,13,Platinum Vision,Manga,PG-13 - Teens 13 or older,974,53424,996,Fall 2019
31646,3-gatsu no Lion,8.43,Drama,22,Shaft,Manga,PG-13 - Teens 13 or older,11242,208655,15817,Fall 2016
14397,Chihayafuru 2,8.43,Drama,25,Madhouse,Manga,PG-13 - Teens 13 or older,1604,127828,2714,Winter 2013
5941,Cross Game,8.43,Comedy,50,SynergySP,Manga,PG-13 - Teens 13 or older,2732,48400,3464,Spring 2009
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.42,Slice of Life,11,A-1 Pictures,Original,PG-13 - Teens 13 or older,30271,870583,13348,Spring 2011
136,Hunter x Hunter,8.42,Action,62,Nippon Animation,Manga,PG-13 - Teens 13 or older,9525,260968,15100,Fall 1999
2246,Mononoke,8.42,Mystery,12,Toei Animation,Original,R - 17+ (violence & profanity),5686,71537,4855,Summer 2007
2251,Baccano!,8.42,Action,13,Brain's Base,Light novel,R - 17+ (violence & profanity),21857,364241,18291,Summer 2007
22789,Barakamon,8.41,Comedy,12,Kinema Citrus,Web manga,PG-13 - Teens 13 or older,10827,325820,8036,Summer 2014
35557,Houseki no Kuni (TV),8.41,Action,12,Orange,Manga,PG-13 - Teens 13 or older,8732,156415,6852,Fall 2017
37105,Grand Blue,8.41,Slice of Life,12,Zero-G,Manga,PG-13 - Teens 13 or older,9848,263651,12853,Summer 2018
10030,Bakuman. 2nd Season,8.4,Comedy,25,J.C.Staff,Manga,PG-13 - Teens 13 or older,1380,220954,3764,Fall 2011
22535,Kiseijuu: Sei no Kakuritsu,8.4,Action,24,Madhouse,Manga,R - 17+ (violence & profanity),26381,942917,21720,Fall 2014
38883,Haikyuu!!: To the Top,8.39,Comedy,13,Production I.G,Manga,PG-13 - Teens 13 or older,4058,335260,1992,Winter 2020
17389,Kingdom 2nd Season,8.39,Action,39,Studio Pierrot,Manga,R - 17+ (violence & profanity),698,47556,1323,Summer 2013
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.38,Comedy,13,CloverWorks,Light novel,PG-13 - Teens 13 or older,29642,685665,17316,Fall 2018
7655,Major S6,8.38,Comedy,25,SynergySP,Manga,PG-13 - Teens 13 or older,426,39583,571,Spring 2010
13601,Psycho-Pass,8.38,Action,22,Production I.G,Original,R - 17+ (violence & profanity),34920,720340,36300,Fall 2012
9756,Mahou Shoujo Madoka★Magica,8.38,Drama,12,Shaft,Original,PG-13 - Teens 13 or older,47610,700785,20994,Winter 2011
